Code	D_code	ast	usedate	Valid	WHO	Code_w	d_code_w	Prim	Headline	Text	Tehty	ic9_cm	icd9_cm2	Text_2	SSKParentDgKods	SSKGrupa	Vai ieklaut	Teh pievienosana	Upper level idx	Laiks
Q72.5										Liela lielakaula (tibia) longitudinalas saisinasanas anomalija					Q72	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q72.6										Maza lielakaula (fibula) longitudinalas saisinasanas anomalija					Q72	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q72.7										Skelta peda					Q72	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q72.8										Citas apaksejas(o) ekstremitates(su) redukcijas anomalijas					Q72	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q72.9										Neprecizeta apaksejo ekstremitasu redukcijas anomalija					Q72	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q73										Anomalijas ar neprecizetas ekstremitates redukciju					NULL	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas	X	X		
Q73.0										Neprecizetas ekstremitates(su) iedzimts trukums					Q73	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q73.1										Neprecizetas ekstremitates(su) fokomelija					Q73	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q73.8										Citas neprecizetas ekstremitates(su) redukcijas anomalijas					Q73	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q74										Citas iedzimtas ekstremitasu kroplibas					NULL	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas	X	X		
Q74.0										Citas iedzimtas augsejo ekstremitasu, ieskaitot pleca joslu, anomalijas					Q74	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q74.1										Iedzimtas cela anomalijas					Q74	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q74.2										Citas iedzimtas apaksejas ekstremitates  anomalijas,ieskaitot iegurna joslu					Q74	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q74.3										Iedzimta multipla artrogripoze (artrogryposis multiplex congenita)					Q74	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q74.8										Citas precizetas iedzimtas ekstremitates(su) anomalijas					Q74	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q74.9										Neprecizetas iedzimtas ekstremitates(su) anomalijas					Q74	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q75										Citas iedzimtas sejas un galvaskausa anomalijas					NULL	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas	X	X		
Q75.0										Kraniosinostoze (craniosynostosis)					Q75	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q75.1										Kraniofaciala disostoze					Q75	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q75.2										Hipertelorisms					Q75	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q75.3										Makrocefalija					Q75	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q75.4										Mandibulofaciala disostoze					Q75	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q75.5										Okulomandibulara disostoze					Q75	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q75.8										Citas prcizetas iedzimtas galvaskausa un sejas kaulu anomalijas					Q75	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q75.9										Neprecizetas iedzimtas galvaskausa un sejas kaulu anomalijas					Q75	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q76										Iedzimtas mugurkaulaja un kruskurvja kaulu anomalijas					NULL	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas	X	X		
Q76.0										Slepta mugurkaulaja skeltne (spina bifida occulta)					Q76	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q76.1										Klipela- Feila sindroms					Q76	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q76.2										Iedzimta spondilolisteze					Q76	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q76.3										Iedzimta skolioze iedzimtas kaulu anomalijas del					Q76	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q76.4										Citas iedzimtas mugurkaulaja anomalijas bez skoliozes					Q76	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q76.5										Kakla riba					Q76	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q76.6										Citas iedzimtas ribu anomalijas					Q76	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q76.7										Iedzimta kruskaula (sternum) anomalija					Q76	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q76.8										Citas iedzimtas kruskurvja kaulu anomalijas					Q76	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q76.9										Neprecizeta kruskurvja kaulu anomalija					Q76	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q77										Osteohondrodisplazija ar stobrkaulu un mugurkaulaja augsanas traucejumiem					NULL	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas	X	X		
Q77.0										Ahondrogeneze					Q77	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q77.1										Tanatofori iss augums					Q77	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q77.2										Iso ribu sindroms					Q77	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q77.3										Chondrodysplasia punctata					Q77	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q77.4										Ahondroplazija					Q77	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q77.5										Diastrofiska displazija					Q77	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q77.6										Hondroektodermala displazija					Q77	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q77.7										Spondiloepifizeala displazija					Q77	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q77.8										Citas osteohondrodisplazijas ar stobrkaulu un mugurkaulaja augsanas traucejumiem					Q77	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q77.9										Neprecizeta osteohondrodisplazija ar stobrkaulu un mugurkaulaja augsanas traucejumiem					Q77	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q78										Citas osteohondrodisplazijas					NULL	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas	X	X		
Q78.0										Osteogenesis imperfecta					Q78	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q78.1										Poliostotiska fibroza displazija					Q78	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q78.2										Osteopetrosis					Q78	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q78.3										Progresejosa diafizala displazija					Q78	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q78.4										Enhondromatoze					Q78	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q78.5										Metafizes displazija					Q78	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q78.6										Multiplas iedzimtas eksostozes					Q78	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q78.8										Citas precizetas osteohondrodisplazijas					Q78	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q78.9										Neprecizeta osteohondrodisplazija					Q78	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q79										Citur neklasificetas iedzimtas muskulu un skeleta sistemas anomalijas					NULL	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas	X	X		
Q79.0										Iedzimta diafragmas truce					Q79	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q79.1										Citas iedzimtas diafragmas anomalijas					Q79	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q79.2										Exomphalus					Q79	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q79.3										Vedera prieksejas sienas defekts jeb gastroshize (gastroschisis)					Q79	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q79.4										Atkarena vedera sindroms					Q79	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q79.5										Citas iedzimtas vedera sienas anomalijas					Q79	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q79.6										Elersa- Danlo sindroms					Q79	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q79.8										Citas iedzimtas muskulu un skeleta sistemas anomalijas					Q79	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q79.9										Neprecizetas iedzimtas muskulu un skeleta sistemas anomalijas					Q79	Iedzimtas balsta un kustibu sistemas kroplibas un deformacijas		X	X	
Q80										Iedzimta ihtioze					NULL	Citas iedzimtas kroplibas	X	X		
Q80.0										Ichtyosis vulgaris					Q80	Citas iedzimtas kroplibas		X	X	
Q80.1										Ar X hromosomu saistita ihtioze					Q80	Citas iedzimtas kroplibas		X	X	
Q80.2										Lamelara ihtioze					Q80	Citas iedzimtas kroplibas		X	X	
Q80.3										Erythrodermia ichthyosiformis bullosa congenita					Q80	Citas iedzimtas kroplibas		X	X	
Q80.4										Jaundzimuso arlekina (harlequin) sindroms					Q80	Citas iedzimtas kroplibas		X	X	
Q80.8										Cita veida iedzimta ihtioze					Q80	Citas iedzimtas kroplibas		X	X	
Q80.9										Neprecizeta iedzimta ihtioze					Q80	Citas iedzimtas kroplibas		X	X	
Q81										Buloza epidermolize					NULL	Citas iedzimtas kroplibas	X	X		
Q81.0										Epidermolysis bullosa simplex					Q81	Citas iedzimtas kroplibas		X	X	
Q81.1										Epidermolysis bullosa letalis					Q81	Citas iedzimtas kroplibas		X	X	
Q81.2										Epidermolysis bullosa dystrophica					Q81	Citas iedzimtas kroplibas		X	X	
Q81.8										Cita veida buloza epidermolize					Q81	Citas iedzimtas kroplibas		X	X	
Q81.9										Neprecizeta buloza epidermolize					Q81	Citas iedzimtas kroplibas		X	X	
Q82										Citas iedzimtas adas anomalijas					NULL	Citas iedzimtas kroplibas	X	X		
Q82.0										Iedzimta limfostaze					Q82	Citas iedzimtas kroplibas		X	X	
Q82.1										Xeroderma pigmentosum					Q82	Citas iedzimtas kroplibas		X	X	
Q82.2										Mastocitoze					Q82	Citas iedzimtas kroplibas		X	X	
Q82.3										Incontinentia pigmentum					Q82	Citas iedzimtas kroplibas		X	X	
Q82.4										Ektodermala (anhidrotiska) displazija					Q82	Citas iedzimtas kroplibas		X	X	
Q82.5										Iedzimta neneoplastiska dzimumzime (naevus)					Q82	Citas iedzimtas kroplibas		X	X	
Q82.8										Citi precizeti iedzimti adas defekti					Q82	Citas iedzimtas kroplibas		X	X	
Q82.9										 Neprecizeta iedzimta adas anomalija					Q82	Citas iedzimtas kroplibas		X	X	
Q83										Iedzimtas kruts anomalijas					NULL	Citas iedzimtas kroplibas	X	X		
Q83.0										Iedzimts kruts trukums ar krutsgala trukumu					Q83	Citas iedzimtas kroplibas		X	X	
Q83.1										Papildu kruts					Q83	Citas iedzimtas kroplibas		X	X	
Q83.2										Krutsgala trukums					Q83	Citas iedzimtas kroplibas		X	X	
Q83.3										Papildu krutsgals					Q83	Citas iedzimtas kroplibas		X	X	
Q83.8										Citas iedzimtas kruts anomalijas					Q83	Citas iedzimtas kroplibas		X	X	
Q83.9										Neprecizetas iedzimtas kruts anomalijas					Q83	Citas iedzimtas kroplibas		X	X	
Q84										Citas iedzimtas kermena parsega (integumentum) anomalijas					NULL	Citas iedzimtas kroplibas	X	X		
Q84.0										Iedzimta alopecija					Q84	Citas iedzimtas kroplibas		X	X	
Q84.1										Citur neklasificetas iedzimtas matu morfologiskas parmainas					Q84	Citas iedzimtas kroplibas		X	X	
Q84.2										Citas iedzimtas matu anomalijas					Q84	Citas iedzimtas kroplibas		X	X	
Q84.3										Anonihija					Q84	Citas iedzimtas kroplibas		X	X	
Q84.4										Iedzimta leikonihija					Q84	Citas iedzimtas kroplibas		X	X	
Q84.5										Palielinati un hipertrofeti nagi					Q84	Citas iedzimtas kroplibas		X	X	
Q84.6										Citas iedzimtas nagu anomalijas					Q84	Citas iedzimtas kroplibas		X	X	
Q84.8										Citas iedzimtas precizetas kermena parsega anomalijas					Q84	Citas iedzimtas kroplibas		X	X	
Q84.9										Neprecizeta iedzimta kermena parsega anomalija					Q84	Citas iedzimtas kroplibas		X	X	
Q85										Citur neklasificetas fakomatozes					NULL	Citas iedzimtas kroplibas	X	X		
Q85.0										(Nelaundabiga) neirofibromatoze					Q85	Citas iedzimtas kroplibas		X	X	
Q85.1										Sclerosis tuberosa					Q85	Citas iedzimtas kroplibas		X	X	
Q85.8										Citas citur neklasificetas fakomatozes					Q85	Citas iedzimtas kroplibas		X	X	
Q85.9										Neprecizeta fakomatoze					Q85	Citas iedzimtas kroplibas		X	X	
Q86										Citur neklasificeti iedzimtu anomaliju sindromi zinamu eksogenu celonu del					NULL	Citas iedzimtas kroplibas	X	X		
Q86.0										Augla alkohola sindroms (dismorfisks)					Q86	Citas iedzimtas kroplibas		X	X	
Q86.1										Augla hidantoina sindroms					Q86	Citas iedzimtas kroplibas		X	X	
Q86.2										Dismorfisms varfarina lietosanas del					Q86	Citas iedzimtas kroplibas		X	X	
Q86.8										Citi iedzimtu anomaliju sindromi zinamu eksogenu celonu del					Q86	Citas iedzimtas kroplibas		X	X	
Q87										Citi precizeti iedzimtu anomaliju sindromi, kas skar vairakas sistemas					NULL	Citas iedzimtas kroplibas	X	X		
Q87.0										Iedzimtu anomaliju sindromi ar dominejosu sejas kroplibu					Q87	Citas iedzimtas kroplibas		X	X	
Q87.1										Iedzimto anomaliju sindromi ar dominejosu mazu augumu					Q87	Citas iedzimtas kroplibas		X	X	
Q87.2										Iedzimtu anomaliju sindromi ar dominejosu ekstremitasu kroplibu					Q87	Citas iedzimtas kroplibas		X	X	
Q87.3										Iedzimto anomaliju sindromi ar agrini parmerigu augsanu					Q87	Citas iedzimtas kroplibas		X	X	
Q87.4										Marfana sindroms					Q87	Citas iedzimtas kroplibas		X	X	
Q87.5										Citi iedzimto anomaliju sindromi ar citam skeleta parmainam					Q87	Citas iedzimtas kroplibas		X	X	
Q87.8										Citi precizeti iedzimto anomaliju sindromi, citur neklasificeti					Q87	Citas iedzimtas kroplibas		X	X	
Q89										Citas citur neklasificetas iedzimtas anomalijas					NULL	Citas iedzimtas kroplibas	X	X		
Q89.0										Iedzimti liesas defekti					Q89	Citas iedzimtas kroplibas		X	X	
Q89.1										Iedzimtas virsnieru anomalijas					Q89	Citas iedzimtas kroplibas		X	X	
Q89.2										Iedzimtas citu endokrino dziedzeru anomalijas					Q89	Citas iedzimtas kroplibas		X	X	
Q89.3										Situs [viscerum] inversus					Q89	Citas iedzimtas kroplibas		X	X	
Q89.4										Saaugusi dvini					Q89	Citas iedzimtas kroplibas		X	X	
Q89.7										Citur neklasificetas daudzas iedzimtas anomalijas					Q89	Citas iedzimtas kroplibas		X	X	
Q89.8										Citas precizetas iedzimtas anomalijas					Q89	Citas iedzimtas kroplibas		X	X	
Q89.9										Neprecizeta iedzimta anomalija					Q89	Citas iedzimtas kroplibas		X	X	
Q90										Dauna (Down) sindroms					NULL	Citur neklasificetas hromosomu anomalijas	X	X		
Q90.0										Trisomija 21, mejotiska nesadalisanas					Q90	Citur neklasificetas hromosomu anomalijas		X	X	
Q90.1										Trisomija 21,mozaicisms (mitotiska nesadalisanas)					Q90	Citur neklasificetas hromosomu anomalijas		X	X	
Q90.2										Trisomija 21,translokacija					Q90	Citur neklasificetas hromosomu anomalijas		X	X	
Q90.9										Neprecizets Dauna sindroms					Q90	Citur neklasificetas hromosomu anomalijas		X	X	
Q91										Edvardsa (Edwards) sindroms un Petaua (Patau) sindroms					NULL	Citur neklasificetas hromosomu anomalijas	X	X		
Q91.0										Trisomija 18, mejotiska nesadalisanas					Q91	Citur neklasificetas hromosomu anomalijas		X	X	
Q91.1										Trisomija 18, mozaicisms (mitotiska nesadalisanas)					Q91	Citur neklasificetas hromosomu anomalijas		X	X	
Q91.2										Trisomija 18,  translokacija					Q91	Citur neklasificetas hromosomu anomalijas		X	X	
Q91.3										Neprecizets Edvardsa sindroms					Q91	Citur neklasificetas hromosomu anomalijas		X	X	
Q91.4										Trisomija 13, mejotiska nesadalisanas					Q91	Citur neklasificetas hromosomu anomalijas		X	X	
Q91.5										Trisomija 13, mozaicisms (mitotiska nesadalisanas)					Q91	Citur neklasificetas hromosomu anomalijas		X	X	
Q91.6										Trisomija 13,  translokacija					Q91	Citur neklasificetas hromosomu anomalijas		X	X	
Q91.7										Neprecizets Petaua sindroms					Q91	Citur neklasificetas hromosomu anomalijas		X	X	
Q92										Citas citur neklasificetas trisomijas un autosomu parcialas trisomijas					NULL	Citur neklasificetas hromosomu anomalijas	X	X		
Q92.0										Veselas hromosomas trisomija, mejotiska nesadalisanas					Q92	Citur neklasificetas hromosomu anomalijas		X	X	
Q92.1										Veselas hromosomas trisomija, mozaicisms (mitotiska nesadalisanas)					Q92	Citur neklasificetas hromosomu anomalijas		X	X	
Q92.2										Liela parciala trisomija					Q92	Citur neklasificetas hromosomu anomalijas		X	X	
Q92.3										Maza parciala trisomija					Q92	Citur neklasificetas hromosomu anomalijas		X	X	
Q92.4										Duplikacija, kas redzama tikai prometafaze					Q92	Citur neklasificetas hromosomu anomalijas		X	X	
Q92.5										Duplikacija ar citu kompleksu parveidi					Q92	Citur neklasificetas hromosomu anomalijas		X	X	
Q92.6										Papildu markieru hromosomas					Q92	Citur neklasificetas hromosomu anomalijas		X	X	
Q92.7										Triploidija un poliploidija					Q92	Citur neklasificetas hromosomu anomalijas		X	X	
Q92.8										Citas precizetas trisomijas un autosomu parcialas trisomijas					Q92	Citur neklasificetas hromosomu anomalijas		X	X	
Q92.9										Neprecizeta trisomija un autosomu parciala trisomija					Q92	Citur neklasificetas hromosomu anomalijas		X	X	
Q93										Citur neklasificeta autosomu monosomija un delecija					NULL	Citur neklasificetas hromosomu anomalijas	X	X		
Q93.0										Veselas hromosomas monosomija, mejotiska nesadalisanas					Q93	Citur neklasificetas hromosomu anomalijas		X	X	
Q93.1										Veselas hromosomas monosomija, mozaicisms (mitotiska nesadalisanas)					Q93	Citur neklasificetas hromosomu anomalijas		X	X	
Q93.2										Dicentriska un gredzenveida hromosomas aizvietosanas					Q93	Citur neklasificetas hromosomu anomalijas		X	X	
Q93.3										Ceturtas (4) hromosomas isa pleca delecija					Q93	Citur neklasificetas hromosomu anomalijas		X	X	
Q93.4										Piektas (5) hromosomas isa pleca delecija					Q93	Citur neklasificetas hromosomu anomalijas		X	X	
Q93.5										Citas hromosomas dalas delecijas					Q93	Citur neklasificetas hromosomu anomalijas		X	X	
Q93.6										Delecijas, kas redzamas tikai prometafaze					Q93	Citur neklasificetas hromosomu anomalijas		X	X	
Q93.7										Delecijas ar citu kompleksu parkartosanos					Q93	Citur neklasificetas hromosomu anomalijas		X	X	
Q93.8										Citas autosomu delecijas					Q93	Citur neklasificetas hromosomu anomalijas		X	X	
Q93.9										Neprecizeta autosomu delecija					Q93	Citur neklasificetas hromosomu anomalijas		X	X	
Q95										Citur neklasificeta lidzsvarota parkartosanas un strukturalie markieri					NULL	Citur neklasificetas hromosomu anomalijas	X	X		
Q95.0										Lidzsvarota translokacija un insercija normalam individam					Q95	Citur neklasificetas hromosomu anomalijas		X	X	
Q95.1										Hromosomas inversija normalam individam					Q95	Citur neklasificetas hromosomu anomalijas		X	X	
Q95.2										Lidzsvarota autosomala parkartosanas anomalam individam					Q95	Citur neklasificetas hromosomu anomalijas		X	X	
Q95.3										Lidzsvarota dzimumhromosomas autosomas parkartosanas anomalam individam					Q95	Citur neklasificetas hromosomu anomalijas		X	X	
Q95.4										Individs ar  heterohromatina markieri					Q95	Citur neklasificetas hromosomu anomalijas		X	X	
Q95.5										Individs ar autosomalu trauslo hromosomas dalu					Q95	Citur neklasificetas hromosomu anomalijas		X	X	
Q95.8										Citi lidzsvarotas parkartosanas un strukturalie markieri					Q95	Citur neklasificetas hromosomu anomalijas		X	X	
Q95.9										Neprecizeta lidzsvarota parkartosanas un strukturals markieris					Q95	Citur neklasificetas hromosomu anomalijas		X	X	
Q96										Ternera (Turner) sindroms					NULL	Citur neklasificetas hromosomu anomalijas	X	X		
Q96.0										Kariotips 45,X					Q96	Citur neklasificetas hromosomu anomalijas		X	X	
Q96.1										Kariotips 45,X iso (Xq)					Q96	Citur neklasificetas hromosomu anomalijas		X	X	
Q96.2										Kariotips 45,X ar nenormalu dzimumhromosomu, iznemot iso (Xq)					Q96	Citur neklasificetas hromosomu anomalijas		X	X	
Q96.3										Mozaicisms, 45, X/ 46, XX vai XY					Q96	Citur neklasificetas hromosomu anomalijas		X	X	
Q96.4										Mozaicisms, 45, X/ citu sunu linijas ar nenormalu dzimumhromosomu					Q96	Citur neklasificetas hromosomu anomalijas		X	X	
Q96.8										Citi Tenera sindroma varianti					Q96	Citur neklasificetas hromosomu anomalijas		X	X	
Q96.9										Neprecizets Ternera sindroms					Q96	Citur neklasificetas hromosomu anomalijas		X	X	
Q97										Citas citur neklasificetas dzimumhromosomas anomalijas ar sievietes fenotipu					NULL	Citur neklasificetas hromosomu anomalijas	X	X		
Q97.0										Kariotips 47, XXX					Q97	Citur neklasificetas hromosomu anomalijas		X	X	
Q97.1										Sieviete ar vairak par trim X hromosomam					Q97	Citur neklasificetas hromosomu anomalijas		X	X	
Q97.2										Mozaicisma veidi ar dazadu X hromosomu skaitu					Q97	Citur neklasificetas hromosomu anomalijas		X	X	
Q97.3										Sieviete ar 46, XY kariotipu					Q97	Citur neklasificetas hromosomu anomalijas		X	X	
Q97.8										Citas precizetas dzimumhromosomas anomalijas ar sievietes fenotipu					Q97	Citur neklasificetas hromosomu anomalijas		X	X	
Q97.9										Neprecizeta  dzimumhromosomas anomalija ar sievietes fenotipu					Q97	Citur neklasificetas hromosomu anomalijas		X	X	
Q98										Citas citur neklasificetas dzimumhromosomas anomalijas ar viriesa fenotipu					NULL	Citur neklasificetas hromosomu anomalijas	X	X		
Q98.0										Klainefeltera (Klinefelter) sindroms, kariotips 47, XXY					Q98	Citur neklasificetas hromosomu anomalijas		X	X	
Q98.1										Klainefeltera sindroms, virietis ar vairak par divam X hromosomam					Q98	Citur neklasificetas hromosomu anomalijas		X	X	
Q98.2										Klainefeltera sindroms, virietis ar 46, XX kariotipu					Q98	Citur neklasificetas hromosomu anomalijas		X	X	
Q98.3										Cits 46, XX kariotips virietim					Q98	Citur neklasificetas hromosomu anomalijas		X	X	
Q98.4										Klainefeltera sindroms, neprecizets					Q98	Citur neklasificetas hromosomu anomalijas		X	X	
Q98.5										Kariotips 47, XYY					Q98	Citur neklasificetas hromosomu anomalijas		X	X	
Q98.6										Virietis ar strukturali nenormalu dzimumhromosomu					Q98	Citur neklasificetas hromosomu anomalijas		X	X	
Q98.7										Virietis ar dzimumhromosomas mozaicismu					Q98	Citur neklasificetas hromosomu anomalijas		X	X	
Q98.8										Citas precizetas dzimumhromosomas anomalijas ar viriesa fenotipu					Q98	Citur neklasificetas hromosomu anomalijas		X	X	
Q98.9										Neprecizeta dzimumhromosomas anomalija ar viriesa fenotipu					Q98	Citur neklasificetas hromosomu anomalijas		X	X	
Q99										Citas citur neklasificetas hromosomu anomalijas					NULL	Citur neklasificetas hromosomu anomalijas	X	X		
Q99.0										Himera 46, XX/ 46, XY					Q99	Citur neklasificetas hromosomu anomalijas		X	X	
Q99.1										46, XX istais hermafrodits					Q99	Citur neklasificetas hromosomu anomalijas		X	X	
Q99.2										Trausla X hromosoma					Q99	Citur neklasificetas hromosomu anomalijas		X	X	
Q99.8										Citas precizetas hromosomas anomalijas					Q99	Citur neklasificetas hromosomu anomalijas		X	X	
Q99.9										Neprecizeta hromosomu anomalija					Q99	Citur neklasificetas hromosomu anomalijas		X	X	
R00										Sirdsdarbibas traucejumi					NULL	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R00.0										Tahikardija, neprecizeta					R00	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R00.1										Bradikardija, neprecizeta					R00	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R00.2										Sirdsklauves					R00	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R00.8										Citi un neprecizeti sirdsdarbibas traucejumi					R00	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R01										Troksni un citas skanas sirdi					NULL	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R01.0										Labdabigi un nekaitigi sirds troksni					R01	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R01.1										Sirds troksni, neprecizeti					R01	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R01.2										Citas sirdstonu parmainas					R01	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R02										Gangrena, citur neklasificeta					NULL	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R03										Anomals asinsspiediens bez diagnozes					NULL	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R03.0										Paaugstinats asinsspiediens bez hipertensijas diagnozes					R03	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R03.1										Neprecizets zems asinsspiediens					R03	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R04										Elpcelu asinosana					NULL	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R04.0										Epistaxis					R04	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R04.1										Rikles asinosana					R04	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R04.2										Asinssplausana (haemoptysis)					R04	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R04.8										Citu elpcelu dalu asinosana					R04	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R04.9										Elpcelu asinosana, neprecizeta					R04	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R05										Klepus					NULL	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R06										Elposanas anomalijas					NULL	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R06.0										Dispnoja (dyspnoe)					R06	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R06.1										Stridors					R06	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R06.2										Svilpjosi troksni kruskurvi					R06	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R06.3										Periodiska elposana					R06	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R06.4										Hiperventilacija					R06	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R06.5										Elposana caur muti					R06	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R06.6										Zagas					R06	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R06.7										Skaudisana					R06	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R06.8										Citi un neprecizeti elposanas traucejumi					R06	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R07										Sapes rikle un kruskurvi					NULL	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R07.0										Sapes rikle					R07	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
R07.1										Sapes kruskurvi elpojot					R07	Ar asinsrites un elposanas sistemu saistiti simptomi un pazimes				
