"D";"Klassifikation af sygdomme"
"DL97";"Sår på ben ikke klassificeret andetsteds"
"DL979";"Ulcus extremitatis inferioris ikke klassificeret andetsteds"
"DL979A";"Ulcus cutis neurogenes"
"DL979B";"Ulcus cruris arterioscleroticum"
"DL979C";"Ulcus perforans pedis"
"DL979D";"Ulcus neurogenes cutis"
"DL979E";"Ulcus pedis arterioscleroticum"
"DL98";"Sygd i hud og underhud ikke klass ansted, andre"
"DL980";"Granuloma pyogenicum"
"DL981";"Dermatitis factitia"
"DL981A";"Excoriatio neurotica"
"DL982";"Dermatosis neutrophilica febrilis (Sweet)"
"DL983";"Cellulitis eosinophilica (Wells)"
"DL984";"Ulcus chronicum cutis ikke klassificeret andetsteds"
"DL984A";"Ulcus tropicum uden specifikation"
"DL984B";"Fissura cutis"
"DL984C";"Ulcus cutis uden specifikation"
"DL984D";"Fistula cutis"
"DL984E";"Rhagade"
"DL985";"Mucinosis cutis"
"DL985A";"Scleromyxoedema"
"DL985B";"Lichen myxoedematosus"
"DL985C";"Mucinosis focalis"
"DL985D";"Myxoedema praetibiale"
"DL985E";"Mucinosis follicularis"
"DL985F";"Reticulat erytematøs mucimose (REM)"
"DL985G";"Mucinosis papulosa"
"DL985H";"Scleroedema Buschke"
"DL985I";"Fokal mucinose (cystis mucinosa)"
"DL986";"Infiltrative sygd i hud og underhud, andre"
"DL988";"Sygd i hud og underhud, andre specificerede"
"DL988A";"Lymphocytoma (benigna cutis)"
"DL988B";"Jessner lymphocytic infiltration"
"DL988C";"Lymphadenosis benigna cutis (Bäfverstedt)"
"DL988D";"Piezogenic pedal papules"
"DL989";"Sygd i hud og underhud uden specifikation"
"DL99";"Sygd i hud og underhud ved sygd klass ansted, andre"
"DL990";"Amyloidosis cutis"
"DL990A";"Lichen amyloidosis"
"DL990B";"Amyloidosis macularis"
"DL990C";"Amyloidosis nodularis"
"DL998";"Sygd i hud og underhud ved sygd klass andetsteds, andre"
"DL998A";"Leukoderma syphiliticum"
"DL998B";"Alopecia syphilitica"
"DM00";"Purulent ledbetændelse"
"DM000";"Arthritis et polyarthritis staphylococcica"
"DM000A";"Arthritis staphylococcica"
"DM000B";"Polyarthritis staphylococcica"
"DM001";"Arthritis et polyarthritis pneumococcica"
"DM001A";"Arthritis pneumococcica"
"DM001B";"Polyarthritis pneumococcica"
"DM002";"Arthritis et polyarthritis streptococcica"
"DM002A";"Arthritis streptococcica"
"DM002B";"Polyarthritis streptococcica (excl pneumococcica)"
"DM008";"Purulent artrit og polyartrit forårsaget af andre spec bakt"
"DM009";"Purulent artrit uden specifikation"
"DM01";"Infektion af led ved infektiøs/parasitær sygdom klass anste"
"DM010";"Arthritis meningococcica"
"DM011";"Arthritis tuberculosa"
"DM012";"Artrit ved Borrelia infektion"
"DM012A";"Arthritis, Lyme sygdom"
"DM013";"Artrit ved andre bakterielle sygdomme klass andetsteds"
"DM013A";"Arthritis typhoidea"
"DM013B";"Arthritis paratyphoidea"
"DM013C";"Arthritis, lokaliseret salmonella infektion"
"DM013D";"Arthritis, lepra"
"DM014";"Artrit ved Rubella infektion"
"DM015";"Artrit ved andre virale sygdomme klassificeret andetsteds"
"DM015A";"Arthritis, O'nyong-nyong feber"
"DM015B";"Arthritis parotitica"
"DM016";"Arthritis mycotica"
"DM018";"Artrit ved infektiøs og parasitær sygdom klass andetsteds"
"DM02";"Reaktive ledsygdom"
"DM020";"Artrit efter intestinal bypass operation"
"DM021";"Arthritis postdysenterica"
"DM022";"Artrit efter vaccination"
"DM023";"Reiter's sygdom"
"DM028";"Reaktive artritter, andre"
"DM029";"Reaktiv artrit uden specifikation"
"DM03";"Postinfektiøs ledsygdom"
"DM030";"Arthritis postmeningococcica"
"DM031";"Arthritis postinfectiosa syphilitica"
"DM031A";"Clutton's led"
"DM032";"Postinfektiøse artritter, andre ved sygdom klass andetsteds"
"DM032A";"Arthritis postinfectiosa hepatitica"
"DM032B";"Arthritis postinfectiosa enteritica, Yersinia enterocolitic"
"DM036";"Reaktiv artrit ved andre sygdomme klassificeret andetsteds"
"DM05";"Seropositiv leddegigt"
"DM050";"Felty's syndrom"
"DM050A";"Arthritis rheumatoides med splenoadenomegali og leukopeni"
"DM051";"Reumatoid lungesygdom"
"DM051A";"Caplan's syndrom"
"DM051B";"Effusio pleurae rheumatoides"
"DM051C";"Fibrosis pulmonis interstitialis diffusa rheumatoides"
"DM051D";"Pleuritis rheumatoides"
"DM051E";"Noduli rheumatici pulmonis"
"DM051F";"Granuloma pulmonis rheumatoides"
"DM052";"Vasculitis rheumatoides"
"DM053";"Arthritis rheumatoides med involvering af andre organsyst"
"DM053A";"Arthritis rheumatoides med endocardit"
"DM053B";"Arthritis rheumatoides med myocardit"
"DM053C";"Arthritis rheumatoides med myopati"
"DM053D";"Polyneuropathia rheumatoides"
"DM053E";"Arthritis rheumatoides med pericardit"
"DM058";"Seropositiv reumatoid artrit, andre former"
"DM059";"Seropositiv reumatoid artrit uden specifikation"
"DM06";"Leddegigt, andre former"
"DM060";"Arthritis rheumatoides seronegativa"
"DM061";"Still's sygdom med debut efter det fyldte 16 år"
"DM062";"Bursitis rheumatoides"
"DM063";"Noduli rheumatici"
"DM064";"Polyarthritis inflammatorica"
"DM068";"Reumatoid artrit, andre specificerede former"
"DM069";"Reumatoid artrit uden specifikation"
"DM07";"Psoriatisk ledsygdom og ledsygdom ved tarmlidelse"
"DM070";"Arthritis psoriatica interphalangealis distalis"
"DM071";"Arthritis psoriatica mutilans"
"DM072";"Spondylitis psoriatica"
"DM073";"Psoriatisk artrit, andre former"
"DM073A";"Psoriasis artrit"
"DM073B";"Psoriasis artropati"
"DM074";"Arthritis enteropathica ved Crohn's sygdom"
"DM075";"Arthritis enteropathica ved colitis ulcerosa"
"DM076";"Enteropatisk artrit, andre former"
"DM076A";"Arthritis enteropathica uden specifikation"
"DM08";"Leddegigt hos børn"
"DM080";"Juvenil artrit med eller uden reumatoid faktor"
"DM080A";"Arthritis juvenilis med rheumafaktor"
"DM080B";"Arthritis juvenilis chronica uden rheumafaktor"
"DM082";"Juvenil artrit med ekstraartikulære manifestationer"
"DM082A";"Still's sygdom, debut før det fyldte 16 år"
"DM082B";"Still's sygdom uden specifikation"
"DM083";"Polyarthritis juvenilis (seronegativ)"
"DM084";"Pauciartikulær juvenil artrit"
"DM088";"Juvenil artrit, andre former"
"DM088A";"Enthesitis relateret arthritis"
"DM089";"Juvenil artrit uden specifikation"
"DM09";"Leddegigt hos børn ved sygdom klassificeret andetsteds"
"DM090";"Arthritis juvenilis psoriatica"
"DM091";"Arthritis juvenilis ved Crohn's sygdom"
"DM092";"Arthritis juvenilis ved colitis ulcerosa"
"DM098";"Juvenil artrit ved andre sygdomme klassificeret andetsteds"
"DM10";"Urinsur gigt"
"DM100";"Arthritis urica idiopathica"
"DM100A";"Podagra"
"DM100B";"Tophi urici"
"DM100C";"Bursitis urica"
"DM101";"Arthritis urica ved blyforgiftning"
"DM102";"Arthritis urica medicamentalis"
"DM103";"Arthritis urica nephropathica"
"DM104";"Sekundær urinsur gigt, anden form"
"DM109";"Urinsur gigt uden specifikation"
"DM11";"Gigt forårsaget af krystaller, andre former"
"DM110";"Hydroxyapatit artrit"
"DM111";"Familiær pyrofosfat artrit"
"DM112";"Pyrofosfat artrit, andre former"
"DM112A";"Pyrofosfatarthritis uden specifikation"
"DM118";"Krystalsynovit, andre specificerede former"
"DM119";"Krystalartrit uden specifikation"
"DM12";"Ledsygdom, andre specificerede former"
"DM120";"Arthropathia chronica postrheumatica (Jaccoud)"
"DM121";"Kaschin-Beck's sygdom"
"DM122";"Synovitis villonodularis (pigmenteret)"
"DM123";"Arthropathia palindromica"
"DM124";"Hydarthron intermittens"
"DM125";"Arthropathia traumatica"
"DM128";"Artropatier, andre specificerede ikke klassif andetsteds"
"DM128A";"Arthritis transitoria"
"DM13";"Ledbetændelse, anden"
"DM130";"Polyarthritis uden specifikation"
"DM131";"Monoarthritis ikke klassificeret andetsteds"
"DM138";"Artrit, andre specificerede former"
"DM138A";"Arthritis allergica"
"DM139";"Artrit uden specifikation"
"DM14";"Ledsygdom ved andre sygdomme klassificeret andetsteds"
"DM140";"Arthritis urica v enzymdefekt og arvelig sygdom klass anste"
"DM140A";"Arthritis urica, Lesch-Nyhan's syndrom"
"DM140B";"Arthritis urica, enzymdefekter"
"DM140C";"Arthritis urica, seglcelle sygdom"
"DM140D";"Arthritis urica, arvelige stofskiftesygdomme"
"DM141";"Krystalartrit ved anden metabolisk sygdom klass andetsteds"
"DM141A";"Krystalartrit ved hyperparathyroidismus"
"DM142";"Arthritis diabetica"
"DM143";"Dermatoarthritis lipoidica"
"DM144";"Artrit ved amyloidosis"
"DM145";"Artrit ved endokrin/ernærings/stofskiftesygdom klass ansted"
"DM145A";"Arthritis, haemochromatosis"
"DM145B";"Arthritis, acromegalia"
"DM145C";"Arthritis, hypothyroidismus"
"DM145D";"Arthritis, thyreotoxicosis"
"DM146";"Arthritis neuropathica"
"DM146A";"Charcot's led"
"DM146E";"Arthritis tabica"
"DM148";"Artrit ved andre specificerede sygdomme klassif andetsteds"
"DM148A";"Arthritis, erythema multiforme"
"DM148B";"Arthritis, sarcoidosis"
"DM148C";"Arthritis, erythema nodosum"
"DM148D";"Arthritis, Whipple's sygdom"
"DM15";"Slidgigt i flere led"
"DM150";"Arthrosis generalisata primaria"
"DM151";"Heberdens noduli ved artrose"
"DM152";"Bouchards noduli ved artrose"
"DM153";"Arthrosis multiplex secundaria"
"DM153A";"Polyarthrosis posttraumatica"
"DM154";"Arthrosis erosiva"
"DM158";"Polyartrose, andre former"
"DM159";"Polyartrose uden specifikation"
"DM16";"Slidgigt i hofte"
"DM160";"Arthrosis coxae primaria bilateralis"
"DM161";"Arthrosis coxae primaria, anden form"
"DM161A";"Coxarthrosis primaria uden specifikation"
"DM161B";"Coxarthrosis primaria unilateralis"
"DM162";"Arthrosis coxae dysplastica bilateralis"
"DM163";"Arthrosis coxae dysplastica, anden form"
"DM163A";"Coxarthrosis dysplastica uden specifikation"
"DM163B";"Coxarthrosis dysplastica unilateralis"
"DM164";"Arthrosis coxae posttraumatica bilateralis"
"DM165";"Arthrosis coxae posttraumatica, anden form"
"DM165A";"Coxarthrosis posttraumatica uden specifikation"
"DM165B";"Coxarthrosis posttraumatica unilateralis"
"DM166";"Arthrosis coxae secundaria bilateralis, anden form"
"DM167";"Arthrosis coxae secundaria, anden form"
"DM167A";"Coxarthrosis secundaria uden specifikation"
"DM167B";"Coxarthrosis secundaria unilateralis"
"DM169";"Hofteartrose uden specifikation"
"DM17";"Slidgigt i knæ"
"DM170";"Arthrosis genus primaria bilateralis"
"DM171";"Arthrosis genus primaria, anden form"
"DM171A";"Gonarthrosis primaria unilateralis"
"DM171B";"Gonarthrosis primaria uden specifikation"
"DM172";"Arthrosis genus posttraumatica bilateralis"
"DM173";"Arthrosis genus posttraumatica, anden form"
"DM173A";"Gonarthrosis posttraumatica uden specifikation"
"DM173B";"Gonarthrosis posttraumatica unilateralis"
"DM174";"Arthrosis genus secundaria bilateralis, anden form"
"DM175";"Arthrosis genus secundaria, anden form"
"DM175A";"Gonarthrosis secundaria uden specifikation"
"DM175B";"Gonarthrosis secundaria unilateralis"
"DM179";"Knæartrose uden specifikation"
"DM18";"Slidgigt i tomlens rodled"
"DM180";"Arthrosis articulat carpometacarp pollicis prim bilat"
"DM181";"Arthrosis articulat carpometacarp pollicis prim, anden form"
"DM181A";"Arthrosis carpometacarpalis pollicis prim uden specifikatio"
"DM181B";"Arthrosis carpometacarpalis pollicis primaria unilateralis"
"DM182";"Arthrosis articulat carpometacarp pollicis posttraum bilat"
"DM183";"Arthrosis articulat carpometacarp poll posttraum, anden for"
"DM184";"Arthrosis articulat carpometacarp poll sec bilat, anden for"
"DM185";"Artrose i tommelens rodled, anden form"
"DM185A";"Arthrosis carpometacarpalis pollicis secundaria uden spec"
"DM185B";"Arthrosis carpometacarpalis pollicis secund unilateralis"
"DM189";"Artrose i tommelens rodled uden specifikation"
"DM19";"Slidgigt, andre former"
"DM190";"Arthrosis primaria i andre led"
"DM190A";"Arthrosis primaria uden specifikation"
"DM191";"Arthrosis posttraumatica i andre led"
"DM191A";"Arthrosis posttraumatica uden specifikation"
"DM192";"Arthrosis secundaria i andre led"
"DM192A";"Arthrosis secundaria uden specifikation"
"DM198";"Artrose, andre specificerede former"
"DM198A";"Slidgigt i skulderled"
"DM199";"Artrose uden specifikation"
"DM20";"Erhvervede deformiteter i fingre og tæer"
"DM200";"Deformatio digiti manus"
"DM200A";"Digitus varus manus"
"DM200B";"Digitus valgus manus"
"DM200C";"Knaphulsdeformitet"
"DM200E";"Digitus rigidus manus"
"DM200F";"Svanehalsdeformitet"
"DM201";"Hallux valgus (acquisitus)"
"DM201A";"Bunio"
"DM202";"Hallux rigidus"
"DM203";"Erhvervede deformiteter af storetå, andre"
"DM203A";"Hallux varus"
"DM203B";"Hallux malleus"
"DM203C";"Hallux flexus acquisitus"
"DM204";"Digitus malleus (acquisitus) pedis excl hallux"
"DM205";"Erhvervede deformiteter af tæer, andre"
"DM205A";"Digitus varus acquisitus pedis, excl hallux"
"DM205B";"Digitus valgus acquisitus pedis, excl hallux"
"DM205C";"Digitus rigidus acquisitus pedis, excl hallux"
"DM205E";"Digitus superponens pedis"
"DM206";"Erhvervet tådeformitet uden specifikation"
"DM21";"Erhvervede deformiteter af arme og ben, andre"
"DM210";"Valgus deformitet ikke klassificeret andetsteds"
"DM211";"Varus deformitet ikke klassificeret andetsteds"
"DM212";"Deformatio flexionis"
"DM213";"Erhvervet dropfod"
"DM214";"Pes planus acquisitus"
"DM215";"Erhvervet klohånd, klofod, klumphånd og klumpfod"
"DM215A";"Klumphånd, erhvervet"
"DM215B";"Manus vara acquisita"
"DM215C";"Pes varus acquisitus"
"DM215D";"Pes equino-varus acquisitus"
"DM215E";"Klohånd, erhvervet"
"DM215F";"Klofod, erhvervet"
"DM215G";"Klumpfod, erhvervet"
"DM216";"Erhvervede deformiteter af ankel og fod, andre"
"DM216H";"Pes calcaneo-valgus acquisitus"
"DM216I";"Pes cavus acquisitus"
"DM216J";"Pes calcaneus acquisitus"
"DM216K";"Pes transverso-planus"
"DM216L";"Pes metatarso-varus acquisitus"
"DM216M";"Pes plano-valgus acquisitus"
"DM216N";"Pes excavatus acquisitus"
"DM216O";"Pes valgus acquisitus"
"DM216P";"Pes equino-valgus acquisitus"
"DM217";"Anisomelia acquisita"
"DM218";"Erhvervede ekstremitetsdeformiteter, andre specific former"
"DM218A";"Cubitus valgus acquisitus"
"DM218B";"Cubitus varus acquisitus"
"DM218C";"Genu valgum acquisitum"
"DM218D";"Brevitas acquisita extremitatis"
"DM218E";"Genu varum acquisitum"
"DM218F";"Coxa vara acquisita"
"DM218G";"Genu recurvatum acquisitum"
"DM218H";"Coxa valga acquisita"
"DM219";"Erhvervede ekstremitetsdeformiteter uden specifikation"
"DM22";"Sygdom i knæskal"
"DM220";"Luxatio patellae habitualis"
"DM221";"Subluxatio patellae habitualis"
"DM222";"Morbi patellofemorales"
"DM222A";"Malalignment, patellofemoralt"
"DM222B";"Subluxatio patellae recidivans"
"DM223";"Forskydninger af patella, andre"
"DM224";"Chondromalacia patellae"
"DM228";"Sygdom i knæskal, andre"
"DM228A";"Deformatio patellae"
"DM229";"Sygdom i knæskal uden specifikation"
"DM23";"Lidelser i knæled"
"DM230";"Cystis menisci genus"
"DM231";"Meniscus discoides congenitus genus"
"DM232";"Laesio traumatica menisci genus vetus"
"DM233";"Meniskforstyrrelser, andre"
"DM233A";"Calcificatio menisci genus"
"DM233B";"Degeneratio menisci genus"
"DM234";"Corpus liberum (mus) genus"
"DM235";"Instabilitas chronica genus"
"DM236";"Spontan ruptur af knæligament, anden"
"DM236A";"Ruptura spontanea ligamenti cruciati posterioris genus"
"DM236B";"Ruptura spontanea ligamenti collateralis genus"
"DM236C";"Ruptura spontanea ligamenti genus, uden specifikation"
"DM236D";"Ruptura spontanea ligamenti cruciati anterioris genus"
"DM238";"Lidelser i knæled, andre"
"DM238A";"Laxatio ligamenti genus"
"DM238B";"Knæklik"
"DM239";"Knæledslidelse uden specifikation"
"DM24";"Ledlidelser, andre specificerede"
"DM240";"Corpus liberum (mus) articuli"
"DM241";"Lidelser i ledbrusk, andre"
"DM242";"Morbi ligamentorum"
"DM242A";"Instabilitas secundaria, laesio traumatica ligamenti vetus"
"DM242B";"Laxatio ligamenti uden specifikation"
"DM243";"Luxatio et subluxatio articulorum ikke klassific andetsteds"
"DM243A";"Luxatio articuli ikke klassificeret andetsteds"
"DM243B";"Subluxatio articuli ikke klassificeret andetsteds"
"DM244";"Luxatio et subluxatio articuli habitualis"
"DM244A";"Luxatio articuli habitualis"
"DM244B";"Subluxatio articuli habitualis"
"DM244C";"Luxatio cubiti habitualis"
"DM244D";"Luxatio humeri spontanea"
"DM244E";"Luxatio humeri habitualis"
"DM245";"Contractura articuli"
"DM246";"Ankylosis"
"DM246A";"Ankylosis manus"
"DM246B";"Ankylosis multiplex"
"DM246C";"Ankylosis olecrani"
"DM246D";"Ankylosis uden specifikation"
"DM246E";"Ankylosis humeri"
"DM246F";"Ankylosis pedis"
"DM246G";"Ankylosis genus"
"DM246H";"Ankylosis cubiti"
"DM246I";"Ankylosis digitorum manus"
"DM246J";"Ankylosis coxae"
"DM246K";"Ankylosis carpi"
"DM246L";"Ankylosis talocruralis"
"DM246M";"Ankylosis humeroscapularis"
"DM246N";"Ankylosis radiocarpi"
"DM246O";"Ankylosis tarsi"
"DM247";"Protrusio acetabuli"
"DM248";"Ledlidelse ikke klassificeret andetsteds, anden specificere"
"DM248A";"Coxa irritabilis"
"DM249";"Ledlidelse uden specifikation"
"DM25";"Ledlidelser ikke klassificeret andetsteds, andre"
"DM250";"Haemarthrosis"
"DM251";"Fistula articuli"
"DM252";"Articulus flagilus"
"DM253";"Ledinstabilitet, anden"
"DM254";"Hydrarthron"
"DM255";"Arthralgia"
"DM256";"Ledstivhed ikke klassificeret andetsteds"
"DM256A";"Ledstivhed uden ankylose"
"DM257";"Osteofyt"
"DM258";"Ledlidelser, andre specificerede"
"DM258A";"Coxitis simplex"
"DM258B";"Scapula crepitans (Snapping scapula)"
"DM259";"Ledlidelse uden specifikation"
"DM30";"Polyarteritis nodosa og beslægtede sygdomme"
"DM300";"Polyarteritis nodosa"
"DM301";"Polyarterit med asthma bronchiale (Churg-Strauss)"
"DM301A";"Angiitis granulomatosa allergica"
"DM302";"Polyarteritis juvenilis"
"DM303";"Mukokutant lymfeknude syndrom (Kawasaki)"
"DM308";"Sygdomme beslægtede med polyarteritis nodosa, andre"
"DM308A";"Polyangiitis blandingssyndrom"
"DM31";"Nekrotiserende vaskuliter, andre"
"DM310";"Angiitis hypersensitiva"
"DM310A";"Goodpasture's syndrom"
"DM310B";"Angiitis hypersensitiva ved Schönlein-Henochs purpura"
"DM311";"Microangiopathia thrombotica"
"DM311A";"Trombotisk trombocytopenisk purpura"
"DM311B";"Buergers sygdom"
"DM312";"Letalt midtlinie granulom"
"DM313";"Wegener's granulomatosis"
"DM314";"Arcus aortae syndrom (Takayasu)"
"DM315";"Kæmpecellearteritis med polymyalgia rheumatica"
"DM315A";"Arteritis temporalis med polymyalgia rheumatica"
"DM316";"Kæmpecellearteritis, anden"
"DM316A";"Arteritis temporalis uden polymyalgia rheumatica"
"DM318";"Nekrotiserende vaskuliter, andre specificerede"
"DM318A";"Vasculitis med nedsat komplement"
"DM318B";"Mikroskopisk polyangitis"
"DM319";"Nekrotiserende vaskulit uden specifikation"
"DM32";"Systemisk lupus erythematosus (SLE)"
"DM320";"Medikamentelt induceret systemisk lupus erythematosus"
"DM321";"Systemisk lupus erythematosus med involvering af organsyst"
"DM321A";"Libman-Sacks' endocarditis (systemisk lupus erythematosus)"
"DM321B";"Glomerulonephritis ved systemisk lupus erythematosus"
"DM321C";"Pleuritis ved systemisk lupus erythematosus"
"DM321D";"Polyserositis, systemisk lupus erythematosus"
"DM321E";"Lupus pericarditis"
"DM328";"Systemisk lupus erythematosus, andre former"
"DM329";"Systemisk lupus erythematosus uden specifikation"
"DM33";"Dermatopolymyositis"
"DM330";"Dermatomyositis juvenilis"
"DM331";"Dermatomyositis, anden"
"DM332";"Polymyositis"
"DM339";"Dermatopolymyositis uden specifikation"
"DM34";"Sklerodermi"
"DM340";"Sclerodermia progressiva diffusa"
"DM341";"CR(E)ST syndrom"
"DM342";"Sclerodermi forårsaget af medikament eller kemikalie"
"DM342A";"Sclerodermia chemicalis"
"DM342B";"Sclerodermia medicamentalis"
"DM348";"Sklerodermi, andre former"
"DM348A";"Sclerodermia med myopati"
"DM348B";"Sclerodermia acrosclerotica"
"DM348C";"Fibrosis pulmonis, sclerodermia"
"DM349";"Sclerodermi uden specifikation"
"DM35";"Generaliserede bindevævssygdomme, andre"
"DM350";"Sjögren's syndrom"
"DM350A";"Keratoconjunctivitis sicca (Sjögren)"
"DM350B";"Pneumonitis interstitialis ved Sjögren's syndrom"
"DM350C";"Xerostomi"
"DM350D";"Sjögren's syndrom med myopati"
"DM350E";"Nephritis tubulointerstitialis ved Sjögren's syndrom"
"DM351";"Blandingssyndromer af generaliseret bindevævssygdomme, andr"
"DM351A";"Mixed connective tissue disease (MCTD)"
"DM352";"Behçet's sygdom"
"DM353";"Polymyalgia rheumatica"
"DM354";"Fasciitis eosinophilica"
"DM355";"Fibrosclerosis multifocalis"
"DM356";"Panniculitis recidivans (Weber-Christian)"
"DM356A";"Panniculitis nodularis non suppurativa"
"DM357";"Hypermobilitetssyndrom"
"DM358";"Generaliserede bindevævssygdomme, andre"
"DM359";"Generaliserede bindevævssygdom uden specifikation"
"DM36";"Generaliserede bindevævssygdom ved sygdom klass andetsteds"
"DM360";"Dermato(poly)myositis ved neoplastisk sygdom klass ansteds"
"DM361";"Artrit ved neoplastiske sygdomme klassificeret andetsteds"
"DM361A";"Arthritis, histiocytosis maligna"
"DM361B";"Arthritis, leukaemia"
"DM361C";"Arthritis, myelomatosis"
"DM362";"Arthritis haemophilica"
"DM363";"Artrit ved andre blodsygdom klassificeret andetsteds"
"DM364";"Artrit ved hypersensitivitets reaktioner klass andetsteds"
"DM364A";"Arthritis, Schönlein Henoch's purpura"
"DM368";"Generaliserede bindevævssygdom ved sygdom klass andetsteds"
"DM368A";"Bindevævssygdom, generaliseret ved hypogammaglobulinaemia"
"DM368B";"Bindevævssygdom, generaliseret ved ochronosis"
"DM40";"Krum ryg"
"DM400";"Kyphosis posturalis"
"DM401";"Kyphosis secundaria, andre former"
"DM401A";"Kyphosis secundaria uden specifikation"
"DM402";"Kyfose, anden og ikke specificeret form"
"DM402A";"Kyphosis uden specifikation"
"DM403";"Columna recta"
"DM404";"Lordose, specificerede former"
"DM404A";"Lordosis acquisita"
"DM404B";"Lordosis posturalis"
"DM404C";"Hyperlordosis columnae vertebralis"
"DM405";"Lordose uden specifikation"
"DM41";"Skæv ryg"
"DM410";"Scoliosis infantilis idiopathica"
"DM410A";"Kyphoscoliosis infantilis idiopathica"
"DM411";"Scoliosis juvenilis idiopathica"
"DM411A";"Kyphoscoliosis juvenilis idiopathica"
"DM412";"Scoliosis idiopathica, anden form"
"DM413";"Scoliosis thoracogenica"
"DM413A";"Kyphoscoliosis thoracogenica"
"DM414";"Scoliosis neuromuscularis"
"DM414A";"Scoliosis secundaria, Friedreich's ataxia"
"DM414B";"Scoliosis secundaria, cerebral parese"
"DM414C";"Kyphoscoliosis neuromuscularis"
"DM414D";"Kyphoscoliosis secundaria, cerebral parese"
"DM414E";"Kyphoscoliosis secundaria, Friedreich's ataxia"
"DM414F";"Kyphoscoliosis secundaria, poliomyelitis"
"DM415";"Scoliosis secundaria, anden form"
"DM415A";"Scoliosis secundaria uden specifikation"
"DM415B";"Kyphoscoliosis secundaria uden specifikation"
"DM418";"Skoliose, anden form"
"DM419";"Skoliose uden specifikation"
"DM42";"Forbruskning i hvirvelsøjlen"
"DM420";"Osteochondrosis columnae vertebralis juvenilis (Scheuermann"
"DM421";"Osteochondrosis columnae vertebralis adultorum"
"DM429";"Osteochondrosis columnae vertebralis uden specifikation"
"DM43";"Deformerende rygsygdomme, andre"
"DM430";"Spondylolysis"
"DM431";"Spondylolisthesis"
"DM432";"Blokhvirveldannelse i columna vertebralis"
"DM432A";"Ankylosis columnae vertebralis"
"DM433";"Subluxatio atlantoaxialis habitualis med myelopati"
"DM434";"Subluxatio atlantoaxialis habitualis, anden form"
"DM434A";"Subluxatio atlantoaxialis habitualis uden myelopati"
"DM435";"Subluxation corp vertebrae habituaLis, anden form"
"DM435A";"Luxatio spontanea sacroiliaca"
"DM436";"Torticollis"
"DM438";"Deformerende ryglidelse, andre specificerede former"
"DM439";"Deformerende ryglidelse uden specifikation"
"DM45";"Spondylitis ankylopoietica (Bechterew)"
"DM459";"Spondylitis ankylopoietica (Bechterew)"
"DM459A";"Marie-Strympell's sygdom"
"DM459B";"Spondylitis rheumatica"
"DM46";"Spondyliter, andre"
"DM460";"Enthesopathia spinalis"
"DM461";"Sacroiliit ikke klassificeret andetsteds"
"DM462";"Osteomyelitis vertebrae"
"DM463";"Discitis intervertebralis (purulenta)"
"DM463A";"Discitis intervertebralis postoperativa"
"DM464";"Diskit uden specifikation"
"DM465";"Spondylitis infectiosa, anden form"
"DM465A";"Spondylitis infectiosa"
"DM468";"Spondylit, anden specificeret form"
"DM469";"Spondylit uden specifikation"
"DM47";"Slidgigt i rygsøjle"
"DM470";"Compressio a spinalis ant et a vertebralis syndrom"
"DM470A";"Arteria spinalis anterior syndrom"
"DM470B";"Arteria vertebralis syndrom"
"DM471";"Spondyloser med myelopati, andre"
"DM471A";"Spondylosis med myelopati"
"DM471B";"Compressio spondylogenica medullae spinalis"
"DM471C";"Spondylosis cervicalis med myelopati og tetraplegi"
"DM472";"Spondyloser med radikulopati, andre"
"DM472A";"Spondylosis med radikulopati"
"DM472B";"Spondylosis med neuropati"
"DM478";"Spondyloser, andre"
"DM478A";"Spondylosis thoracalis"
"DM478B";"Spondylosis totalis"
"DM478C";"Spondylosis cervicalis"
"DM478D";"Spondylosis lumbosacralis"
"DM478E";"Spondylosis lumbalis"
"DM479";"Spondylose uden specifikation"
"DM48";"Sygdomme i rygsøjle, andre"
"DM480";"Stenosis spinalis"
"DM481";"Hyperostosis ankylotica (Forestier)"
"DM481A";"Hyperostosis skeletalis idiopathica diffusa (DISH)"
"DM482";"Arthrosis processus spinosi vertebrarum lumbalium"
"DM482A";"Baastrup's sygdom"
"DM483";"Spondylopathia traumatica"
"DM484";"Stress fraktur af vertebra"
"DM485";"Compressio vertebrae ikke klassificeret andetsteds"
"DM485A";"Compressio vertebrae partialis, kileform"
"DM485B";"Compressio vertebrae uden specifikation"
"DM488";"Spondylopati, anden specificeret form"
"DM488A";"Ossificatio ligamenti longitudinalis posterioris"
"DM489";"Spondylopati uden specifikation"
"DM49";"Sygdom i rygsøjle ved sygdom klassificeret andetsteds"
"DM490";"Spondylitis tuberculosa"
"DM491";"Spondylitis brucellosa"
"DM492";"Spondylitis enterobacterialis"
"DM493";"Spondylit ved infektiøs og parasitær sygdom klass andetsted"
"DM493A";"Spondylitis ved bakteriel sygdom klassificeret andetsteds"
"DM493B";"Spondylitis ved parasitær sygdom klassificeret andetsteds"
"DM494";"Spondylopathia neuropathica"
"DM494A";"Spondylopathia neuropathica, syringomyelia"
"DM494B";"Spondylopathia neuropathica, tabes dorsalis"
"DM495";"Compressio vertebrae ved sygdom klassificeret andetsteds"
"DM495A";"Fractura pathologica vertebrae, metastase"
"DM498";"Spondylopati ved andre sygdomme klassificeret andetsteds"
"DM50";"Sygdom i brusk mellem halsens ryghvirvler"
