kóði;enskt heiti;;staða
T01.9;Multiple open wounds, unspecified;;1
T02.0;Fractures involving head with neck;;1
T02.1;Fractures involving thorax with lower back and pelvis;;1
T02.2;Fractures involving multiple regions of one upper limb;;1
T02.3;Fractures involving multiple regions of one lower limb;;1
T02.4;Fractures involving multiple regions of both upper limbs;;1
T02.5;Fractures involving multiple regions of both lower limbs;;1
T02.6;Fractures involving multiple regions of upper limb(s) with lower limb(s);;1
T02.7;Fractures involving thorax with lower back and pelvis with limb(s);;1
T02.8;Fractures involving other combinations of body regions;;1
T02.9;Multiple fractures, unspecified;;1
T03.0;Dislocations, sprains and strains involving head with neck;;1
T03.1;Dislocations, sprains and strains involving thorax with lower back and pelvis;;1
T03.2;Dislocations, sprains and strains involving multiple regions of upper limb(s);;1
T03.3;Dislocations, sprains and strains involving multiple regions of lower limb(s);;1
T03.4;Dislocations, sprains and strains involving multiple regions of upper limb(s) with lower limb(s);;1
T03.8;Dislocations, sprains and strains involving other combinations of body regions;;1
T03.9;Multiple dislocations, sprains and strains, unspecified;;1
T04.0;Crushing injuries involving head with neck;;1
T04.1;Crushing injuries involving thorax with abdomen, lower back and pelvis;;1
T04.2;Crushing injuries involving multiple regions of upper limb(s);;1
T04.3;Crushing injuries involving multiple regions of lower limb(s);;1
T04.4;Crushing injuries involving multiple regions of upper limb(s) with lower limb(s);;1
T04.7;Crushing injuries of thorax with abdomen, lower back and pelvis with limb(s);;1
T04.8;Crushing injuries involving other combinations of body regions;;1
T04.9;Multiple crushing injuries, unspecified;;1
T05.0;Traumatic amputation of both hands;;1
T05.1;Traumatic amputation of one hand and other arm [ any level, except hand ];;1
T05.2;Traumatic amputation of both arms [ any level ];;1
T05.3;Traumatic amputation of both feet;;1
T05.4;Traumatic amputation of one foot and other leg [ any level, except foot ];;1
T05.5;Traumatic amputation of both legs [ any level ];;1
T05.6;Traumatic amputation of upper and lower limbs, any combination [ any level ];;1
T05.8;Traumatic amputations involving other combinations of body regions;;1
T05.9;Multiple traumatic amputations, unspecified;;1
T06.0;Injuries of brain and cranial nerves with injuries of nerves and spinal cord at neck level;;1
T06.1;Injuries of nerves and spinal cord involving other multiple body regions;;1
T06.2;Injuries of nerves involving multiple body regions;;1
T06.3;Injuries of blood vessels involving multiple body regions;;1
T06.4;Injuries of muscles and tendons involving multiple body regions;;1
T06.5;Injuries of intrathoracic organs with intra-abdominal and pelvic organs;;1
T06.8;Other specified injuries involving multiple body regions;;1
T07;Unspecified multiple injuries;;1
T08.0;Fracture of spine, level unspecified, closed;;1
T08.1;Fracture of spine, level unspecified, open;;1
T09.0;Superficial injury of trunk, level unspecified;;1
T09.1;Open wound of trunk, level unspecified;;1
T09.2;Dislocation, sprain and strain of unspecified joint and ligament of trunk;;1
T09.3;Injury of spinal cord, level unspecified;;1
T09.4;Injury of unspecified nerve, spinal nerve root and plexus of trunk;;1
T09.5;Injury of unspecified muscle and tendon of trunk;;1
T09.6;Traumatic amputation of trunk, level unspecified;;1
T09.8;Other specified injuries of trunk, level unspecified;;1
T09.9;Unspecified injury of trunk, level unspecified;;1
T10.0;Fracture of upper limb, level unspecified, closed;;1
T10.1;Fracture of upper limb, level unspecified, open;;1
T11.0;Superficial injury of upper limb, level unspecified;;1
T11.1;Open wound of upper limb, level unspecified;;1
T11.2;Dislocation, sprain and strain of unspecified joint and ligament of upper limb, level unspecified;;1
T11.3;Injury of unspecified nerve of upper limb, level unspecified;;1
T11.4;Injury of unspecified blood vessel of upper limb, level unspecified;;1
T11.5;Injury of unspecified muscle and tendon of upper limb, level unspecified;;1
T11.6;Traumatic amputation of upper limb, level unspecified;;1
T11.8;Other specified injuries of upper limb, level unspecified;;1
T11.9;Unspecified injury of upper limb, level unspecified;;1
T12.0;Fracture of lower limb, level unspecified - closed;;1
T12.1;Fracture of lower limb, level unspecified - open;;1
T13.0;Superficial injury of lower limb, level unspecified;;1
T13.1;Open wound of lower limb, level unspecified;;1
T13.2;Dislocation, sprain and strain of unspecified joint and ligament of lower limb, level unspecified;;1
T13.3;Injury of unspecified nerve of lower limb, level unspecified;;1
T13.4;Injury of unspecified blood vessel of lower limb, level unspecified;;1
T13.5;Injury of unspecified muscle and tendon of lower limb, level unspecified;;1
T13.6;Traumatic amputation of lower limb, level unspecified;;1
T13.8;Other specified injuries of lower limb, level unspecified;;1
T13.9;Unspecified injury of lower limb, level unspecified;;1
T14.0;Superficial injury of unspecified body region;;1
T14.1;Open wound of unspecified body region;;1
T14.2;Fracture of unspecified body region;;1
T14.3;Dislocation, sprain and strain of unspecified body region;;1
T14.4;Injury of nerve(s) of unspecified body region;;1
T14.5;Injury of blood vessel(s) of unspecified body region;;1
T14.6;Injury of muscles and tendons of unspecified body region;;1
T14.7;Crushing injury and traumatic amputation of unspecified body region;;1
T14.8;Other injuries of unspecified body region;;1
T14.9;Injury, unspecified;;1
T15.0;Foreign body in cornea;;1
T15.1;Foreign body in conjunctival sac;;1
T15.8;Foreign body in other and multiple parts of external eye;;1
T15.9;Foreign body on external eye, part unspecified;;1
T16;Foreign body in ear;;1
T17.0;Foreign body in nasal sinus;;1
T17.1;Foreign body in nostril;;1
T17.2;Foreign body in pharynx;;1
T17.3;Foreign body in larynx;;1
T17.4;Foreign body in trachea;;1
T17.5;Foreign body in bronchus;;1
T17.8;Foreign body in other and multiple parts of respiratory tract;;1
T17.9;Foreign body in respiratory tract, part unspecified;;1
T18.0;Foreign body in mouth;;1
T18.1;Foreign body in oesophagus;;1
T18.2;Foreign body in stomach;;1
T18.3;Foreign body in small intestine;;1
T18.4;Foreign body in colon;;1
T18.5;Foreign body in anus and rectum;;1
T18.8;Foreign body in other and multiple parts of alimentary tract;;1
T18.9;Foreign body in alimentary tract, part unspecified;;1
T19.0;Foreign body in urethra;;1
T19.1;Foreign body in bladder;;1
T19.2;Foreign body in vulva and vagina;;1
T19.3;Foreign body in uterus [ any part ];;1
T19.8;Foreign body in other and multiple parts of genitourinary tract;;1
T19.9;Foreign body in genitourinary tract, part unspecified;;1
T20.0;Burn of unspecified degree of head and neck;;1
T20.1;Burn of first degree of head and neck;;1
T20.2;Burn of second degree of head and neck;;1
T20.3;Burn of third degree of head and neck;;1
T20.4;Corrosion of unspecified degree of head and neck;;1
T20.5;Corrosion of first degree of head and neck;;1
T20.6;Corrosion of second degree of head and neck;;1
T20.7;Corrosion of third degree of head and neck;;1
T21.0;Burn of unspecified degree of trunk;;1
T21.1;Burn of first degree of trunk;;1
T21.2;Burn of second degree of trunk;;1
T21.3;Burn of third degree of trunk;;1
T21.4;Corrosion of unspecified degree of trunk;;1
T21.5;Corrosion of first degree of trunk;;1
T21.6;Corrosion of second degree of trunk;;1
T21.7;Corrosion of third degree of trunk;;1
T22.0;Burn of unspecified degree of shoulder and upper limb, except wrist and hand;;1
T22.1;Burn of first degree of shoulder and upper limb, except wrist and hand;;1
T22.2;Burn of second degree of shoulder and upper limb, except wrist and hand;;1
T22.3;Burn of third degree of shoulder and upper limb, except wrist and hand;;1
T22.4;Corrosion of unspecified degree of shoulder and upper limb, except wrist and hand;;1
T22.5;Corrosion of first degree of shoulder and upper limb, except wrist and hand;;1
T22.6;Corrosion of second degree of shoulder and upper limb, except wrist and hand;;1
T22.7;Corrosion of third degree of shoulder and upper limb, except wrist and hand;;1
T23.0;Burn of unspecified degree of wrist and hand;;1
T23.1;Burn of first degree of wrist and hand;;1
T23.2;Burn of second degree of wrist and hand;;1
T23.3;Burn of third degree of wrist and hand;;1
T23.4;Corrosion of unspecified degree of wrist and hand;;1
T23.5;Corrosion of first degree of wrist and hand;;1
T23.6;Corrosion of second degree of wrist and hand;;1
T23.7;Corrosion of third degree of wrist and hand;;1
T24.0;Burn of unspecified degree of hip and lower limb, except ankle and foot;;1
T24.1;Burn of first degree of hip and lower limb, except ankle and foot;;1
T24.2;Burn of second degree of hip and lower limb, except ankle and foot;;1
T24.3;Burn of third degree of hip and lower limb, except ankle and foot;;1
T24.4;Corrosion of unspecified degree of hip and lower limb, except ankle and foot;;1
T24.5;Corrosion of first degree of hip and lower limb, except ankle and foot;;1
T24.6;Corrosion of second degree of hip and lower limb, except ankle and foot;;1
T24.7;Corrosion of third degree of hip and lower limb, except ankle and foot;;1
T25.0;Burn of unspecified degree of ankle and foot;;1
T25.1;Burn of first degree of ankle and foot;;1
T25.2;Burn of second degree of ankle and foot;;1
T25.3;Burn of third degree of ankle and foot;;1
T25.4;Corrosion of unspecified degree of ankle and foot;;1
T25.5;Corrosion of first degree of ankle and foot;;1
T25.6;Corrosion of second degree of ankle and foot;;1
T25.7;Corrosion of third degree of ankle and foot;;1
T26.0;Burn of eyelid and periocular area;;1
T26.1;Burn of cornea and conjunctival sac;;1
T26.2;Burn with resulting rupture and destruction of eyeball;;1
T26.3;Burn of other parts of eye and adnexa;;1
T26.4;Burn of eye and adnexa, part unspecified;;1
T26.5;Corrosion of eyelid and periocular area;;1
T26.6;Corrosion of cornea and conjunctival sac;;1
T26.7;Corrosion with resulting rupture and destruction of eyeball;;1
T26.8;Corrosion of other parts of eye and adnexa;;1
T26.9;Corrosion of eye and adnexa, part unspecified;;1
T27.0;Burn of larynx and trachea;;1
T27.1;Burn involving larynx and trachea with lung;;1
T27.2;Burn of other parts of respiratory tract;;1
T27.3;Burn of respiratory tract, part unspecified;;1
T27.4;Corrosion of larynx and trachea;;1
T27.5;Corrosion involving larynx and trachea with lung;;1
T27.6;Corrosion of other parts of respiratory tract;;1
T27.7;Corrosion of respiratory tract, part unspecified;;1
T28.0;Burn of mouth and pharynx;;1
T28.1;Burn of oesophagus;;1
T28.2;Burn of other parts of alimentary tract;;1
T28.3;Burn of internal genitourinary organs;;1
T28.4;Burn of other and unspecified internal organs;;1
T28.5;Corrosion of mouth and pharynx;;1
T28.6;Corrosion of oesophagus;;1
T28.7;Corrosion of other parts of alimentary tract;;1
T28.8;Corrosion of internal genitourinary organs;;1
T28.9;Corrosion of other and unspecified internal organs;;1
T29.0;Burns of multiple regions, unspecified degree;;1
T29.1;Burns of multiple regions, no more than first-degree burns mentioned;;1
T29.2;Burns of multiple regions, no more than second-degree burns mentioned;;1
T29.3;Burns of multiple regions, at least one burn of third degree mentioned;;1
T29.4;Corrosions of multiple regions, unspecified degree;;1
T29.5;Corrosions of multiple regions, no more than first-degree corrosions mentioned;;1
T29.6;Corrosions of multiple regions, no more than second-degree corrosions mentioned;;1
T29.7;Corrosions of multiple regions, at least one corrosion of third degree mentioned;;1
T30.0;Burn of unspecified body region, unspecified degree;;1
T30.1;Burn of first degree, body region unspecified;;1
T30.2;Burn of second degree, body region unspecified;;1
T30.3;Burn of third degree, body region unspecified;;1
T30.4;Corrosion of unspecified body region, unspecified degree;;1
T30.5;Corrosion of first degree, body region unspecified;;1
T30.6;Corrosion of second degree, body region unspecified;;1
T30.7;Corrosion of third degree, body region unspecified;;1
T31.0;Burns involving less than 10% of body surface;;1
T31.1;Burns involving 10-19% of body surface;;1
T31.2;Burns involving 20-29% of body surface;;1
T31.3;Burns involving 30-39% of body surface;;1
T31.4;Burns involving 40-49% of body surface;;1
T31.5;Burns involving 50-59% of body surface;;1
T31.6;Burns involving 60-69% of body surface;;1
T31.7;Burns involving 70-79% of body surface;;1
T31.8;Burns involving 80-89% of body surface;;1
T31.9;Burns involving 90% or more of body surface;;1
T32.0;Corrosions involving less than 10% of body surface;;1
T32.1;Corrosions involving 10-19% of body surface;;1
T32.2;Corrosions involving 20-29% of body surface;;1
T32.3;Corrosions involving 30-39% of body surface;;1
T32.4;Corrosions involving 40-49% of body surface;;1
T32.5;Corrosions involving 50-59% of body surface;;1
T32.6;Corrosions involving 60-69% of body surface;;1
T32.7;Corrosions involving 70-79% of body surface;;1
T32.8;Corrosions involving 80-89% of body surface;;1
T32.9;Corrosions involving 90% or more of body surface;;1
T33.0;Superficial frostbite of head;;1
T33.1;Superficial frostbite of neck;;1
T33.2;Superficial frostbite of thorax;;1
T33.3;Superficial frostbite of abdominal wall, lower back and pelvis;;1
T33.4;Superficial frostbite of arm;;1
T33.5;Superficial frostbite of wrist and hand;;1
T33.6;Superficial frostbite of hip and thigh;;1
T33.7;Superficial frostbite of knee and lower leg;;1
T33.8;Superficial frostbite of ankle and foot;;1
T33.9;Superficial frostbite of other and unspecified sites;;1
T34.0;Frostbite with tissue necrosis of head;;1
T34.1;Frostbite with tissue necrosis of neck;;1
T34.2;Frostbite with tissue necrosis of thorax;;1
T34.3;Frostbite with tissue necrosis of abdominal wall, lower back and pelvis;;1
T34.4;Frostbite with tissue necrosis of arm;;1
T34.5;Frostbite with tissue necrosis of wrist and hand;;1
T34.6;Frostbite with tissue necrosis of hip and thigh;;1
T34.7;Frostbite with tissue necrosis of knee and lower leg;;1
T34.8;Frostbite with tissue necrosis of ankle and foot;;1
T34.9;Frostbite with tissue necrosis of other and unspecified sites;;1
T35.0;Superficial frostbite involving multiple body regions;;1
T35.1;Frostbite with tissue necrosis involving multiple body regions;;1
T35.2;Unspecified frostbite of head and neck;;1
T35.3;Unspecified frostbite of thorax, abdomen, lower back and pelvis;;1
T35.4;Unspecified frostbite of upper limb;;1
T35.5;Unspecified frostbite of lower limb;;1
T35.6;Unspecified frostbite involving multiple body regions;;1
T35.7;Unspecified frostbite of unspecified site;;1
T36.0;Poisoning by penicillins;;1
T36.1;Poisoning by cefalosporins and other B-lactam antibiotics;;1
T36.2;Poisoning by chloramphenicol group;;1
T36.3;Poisoning by macrolides;;1
T36.4;Poisoning by tetracyclines;;1
T36.5;Poisoning by aminoglycosides;;1
T36.6;Poisoning by rifamycins;;1
T36.7;Poisoning by antifungal antibiotics, systemically used;;1
T36.8;Poisoning by other systemic antibiotics;;1
T36.9;Poisoning by systemic antibiotic, unspecified;;1
T37.0;Poisoning by sulfonamides;;1
T37.1;Poisoning by antimycobacterial drugs;;1
T37.2;Poisoning by antimalarials and drugs acting on other blood protozoa;;1
T37.3;Poisoning by other antiprotozoal drugs;;1
T37.4;Poisoning by anthelminthics;;1
T37.5;Poisoning by antiviral drugs;;1
T37.8;Poisoning by other specified systemic anti-infectives and antiparasitics;;1
T37.9;Poisoning by systemic anti-infective and antiparasitic, unspecified;;1
T38.0;Poisoning by glucocorticoids and synthetic analogues;;1
T38.1;Poisoning by thyroid hormones and substitutes;;1
T38.2;Poisoning by antithyroid drugs;;1
T38.3;Poisoning by insulin and oral hypoglycaemic [ antidiabetic ] drugs;;1
T38.4;Poisoning by oral contraceptives;;1
T38.5;Poisoning by other estrogens and progestogens;;1
T38.6;Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified;;1
T38.7;Poisoning by androgens and anabolic congeners;;1
T38.8;Poisoning by other and unspecified hormones and their synthetic substitutes;;1
T38.9;Poisoning by other and unspecified hormone antagonists;;1
T39.0;Poisoning by salicylates;;1
T39.1;Poisoning by 4-Aminophenol derivatives;;1
T39.2;Poisoning by pyrazolone derivatives;;1
T39.3;Poisoning by other nonsteroidal anti-inflammatory drugs [NSAID];;1
T39.4;Poisoning by antirheumatics, not elsewhere classified;;1
T39.8;Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified;;1
T39.9;Poisoning by nonopioid analgesic, antipyretic and antirheumatic, unspecified;;1
T40.0;Poisoning by narcotics and opium;;1
T40.1;Poisoning by narcotics and heroin;;1
T40.2;Poisoning by narcotics and other opioids;;1
T40.3;Poisoning by narcotics and methadone;;1
T40.4;Poisoning by narcotics and other synthetic narcotics;;1
T40.5;Poisoning by narcotics and cocaine;;1
T40.6;Poisoning by narcotics and other and unspecified narcotics;;1
T40.7;Poisoning by narcotics and cannabis (derivatives);;1
T40.8;Poisoning by narcotics and lysergide [LSD];;1
T40.9;Poisoning by other and unspecified psychodysleptics [hallucinogens];;1
T41.0;Poisoning by inhaled anaesthetics;;1
T41.1;Poisoning by intravenous anaesthetics;;1
T41.2;Poisoning by other and unspecified general anaesthetics;;1
T41.3;Poisoning by local anaesthetics;;1
T41.4;Poisoning by anaesthetic, unspecified;;1
T41.5;Poisoning by therapeutic gases;;1
T42.0;Poisoning by hydantoin derivatives;;1
T42.1;Poisoning by iminostilbenes;;1
T42.2;Poisoning by succinimides and oxazolidinediones;;1
T42.3;Poisoning by barbiturates;;1
T42.4;Poisoning by benzodiazepines;;1
T42.5;Poisoning by mixed antiepileptics, not elsewhere classified;;1
T42.6;Poisoning by other antiepileptic and sedative-hypnotic drugs;;1
T42.7;Poisoning by antiepileptic and sedative-hypnotic drugs, unspecified;;1
T42.8;Poisoning by antiparkinsonism drugs and other central muscle-tone depressants;;1
T43.0;Poisoning by tricyclic and tetracyclic antidepressants;;1
T43.1;Poisoning by monoamine-oxidase-inhibitor antidepressants;;1
T43.2;Poisoning by other and unspecified antidepressants;;1
T43.3;Poisoning by phenothiazine antipsychotics and neuroleptics;;1
T43.4;Poisoning by butyrophenone and thioxanthene neuroleptics;;1
T43.5;Poisoning by other and unspecified antipsychotics and neuroleptics;;1
T43.6;Poisoning by psychostimulants with abuse potential;;1
T43.8;Poisoning by other psychotropic drugs, not elsewhere classified;;1
T43.9;Poisoning by psychotropic drug, unspecified;;1
T44.0;Poisoning by anticholinesterase agents;;1
T44.1;Poisoning by other parasympathomimetics [ cholinergics ];;1
T44.2;Poisoning by ganglionic blocking drugs, not elsewhere classified;;1
T44.3;Poisoning by other parasympatholytics [ anticholinergics and antimuscarinics ] and spasmolytics, not elsewhere classified;;1
T44.4;Poisoning by predominantly alfa-Adrenoreceptor agonists, not elsewhere classified;;1
T44.5;Poisoning by predominantly beta-Adrenoreceptor agonists, not elsewhere classified;;1
T44.6;Poisoning by alfa-Adrenoreceptor antagonists, not elsewhere classified;;1
T44.7;Poisoning by beta-Adrenoreceptor antagonists, not elsewhere classified;;1
T44.8;Poisoning by centrally acting and adrenergic-neuron-blocking agents, not elsewhere classified;;1
T44.9;Poisoning by other and unspecified drugs primarily affecting the autonomic nervous system;;1
T45.0;Poisoning by antiallergic and antiemetic drugs;;1
T45.1;Poisoning by antineoplastic and immunosuppressive drugs;;1
T45.2;Poisoning by vitamins, not elsewhere classified;;1
T45.3;Poisoning by enzymes, not elsewhere classified;;1
T45.4;Poisoning by iron and its compounds;;1
T45.5;Poisoning by anticoagulants;;1
T45.6;Poisoning by fibrinolysis-affecting drugs;;1
T45.7;Poisoning by anticoagulant antagonists, vitamin K and other coagulants;;1
T45.8;Poisoning by other primarily systemic and haematological agents;;1
T45.9;Poisoning by primarily systemic and haematological agent, unspecified;;1
T46.0;Poisoning by cardiac-stimulant glycosides and drugs of similar action;;1
T46.1;Poisoning by calcium-channel blockers;;1
T46.2;Poisoning by other antidysrhythmic drugs, not elsewhere classified;;1
T46.3;Poisoning by coronary vasodilators, not elsewhere classified;;1
T46.4;Poisoning by angiotensin-converting-enzyme inhibitors;;1
T46.5;Poisoning by other antihypertensive drugs, not elsewhere classified;;1
T46.6;Poisoning by antihyperlipidaemic and antiarteriosclerotic drugs;;1
T46.7;Poisoning by peripheral vasodilators;;1
T46.8;Poisoning by antivaricose drugs, including sclerosing agents;;1
T46.9;Poisoning by other and unspecified agents primarily affecting the cardiovascular system;;1
T47.0;Poisoning by histamine H2-receptor antagonists;;1
T47.1;Poisoning by other antacids and anti-gastric-secretion drugs;;1
T47.2;Poisoning by stimulant laxatives;;1
T47.3;Poisoning by saline and osmotic laxatives;;1
T47.4;Poisoning by other laxatives;;1
T47.5;Poisoning by digestants;;1
T47.6;Poisoning by antidiarrhoeal drugs;;1
T47.7;Poisoning by emetics;;1
T47.8;Poisoning by other agents primarily affecting the gastrointestinal system;;1
T47.9;Poisoning by agent primarily affecting the gastrointestinal system, unspecified;;1
T48.0;Poisoning by oxytocic drugs;;1
T48.1;Poisoning by skeletal muscle relaxants [neuromuscular blocking agents];;1
T48.2;Poisoning by other and unspecified agents primarily acting on muscles;;1
T48.3;Poisoning by antitussives;;1
T48.4;Poisoning by expectorants;;1
T48.5;Poisoning by anti-common-cold drugs;;1
T48.6;Poisoning by antiasthmatics, not elsewhere classified;;1
T48.7;Poisoning by other and unspecified agents primarily acting on the respiratory system;;1
T49.0;Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, not elsewhere classified;;1
T49.1;Poisoning by antipruritics;;1
T49.2;Poisoning by local astringents and local detergents;;1
T49.3;Poisoning by emollients, demulcents and protectants;;1
T49.4;Poisoning by keratolytics, keratoplastics and other hair treatment drugs and preparations;;1
T49.5;Poisoning by ophthalmological drugs and preparations;;1
T49.6;Poisoning by otorhinolaryngological drugs and preparations;;1
T49.7;Poisoning by dental drugs, topically applied;;1
T49.8;Poisoning by other topical agents;;1
T49.9;Poisoning by topical agent, unspecified;;1
T50.0;Poisoning by mineralocorticoids and their antagonists;;1
T50.1;Poisoning by loop [high-ceiling] diuretics;;1
T50.2;Poisoning by carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics;;1
T50.3;Poisoning by electrolytic, caloric and water-balance agents;;1
T50.4;Poisoning by drugs affecting uric acid metabolism;;1
T50.5;Poisoning by appetite depressants;;1
T50.6;Poisoning by antidotes and chelating agents, not elsewhere classified;;1
T50.7;Poisoning by analeptics and opioid receptor antagonists;;1
T50.8;Poisoning by diagnostic agents;;1
T50.9;Poisoning by other and unspecified drugs, medicaments and biological substances;;1
T51.0;Toxic effect of ethanol;;1
T51.1;Toxic effect of methanol;;1
T51.2;Toxic effect of 2-Propanol;;1
T51.3;Toxic effect of fusel oil;;1
T51.8;Toxic effect of other alcohols;;1
T51.9;Toxic effect of alcohol, unspecified;;1
T52.0;Toxic effect of petroleum products;;1
T52.1;Toxic effect of benzene;;1
T52.2;Toxic effect of homologues of benzene;;1
T52.3;Toxic effect of glycols;;1
T52.4;Toxic effect of ketones;;1
T52.8;Toxic effect of other organic solvents;;1
T52.9;Toxic effect of organic solvent, unspecified;;1
T53.0;Toxic effect of carbon tetrachloride;;1
T53.1;Toxic effect of chloroform;;1
T53.2;Toxic effect of trichloroethylene;;1
T53.3;Toxic effect of tetrachloroethylene;;1
T53.4;Toxic effect of dichloromethane;;1
T53.5;Toxic effect of chlorofluorocarbons;;1
T53.6;Toxic effect of other halogen derivatives of aliphatic hydrocarbons;;1
T53.7;Toxic effect of other halogen derivatives of aromatic hydrocarbons;;1
T53.9;Toxic effect of halogen derivative of aliphatic and aromatic hydrocarbons, unspecified;;1
T54.0;Toxic effect of phenol and phenol homologues;;1
T54.1;Toxic effect of other corrosive organic compounds;;1
T54.2;Toxic effect of corrosive acids and acid-like substances;;1
T54.3;Toxic effect of corrosive alkalis and alkali-like substances;;1
T54.9;Toxic effect of corrosive substance, unspecified;;1
T55;Toxic effect of soaps and detergents;;1
T56.0;Toxic effect of lead and its compounds;;1
T56.1;Toxic effect of mercury and its compounds;;1
T56.2;Toxic effect of chromium and its compounds;;1
T56.3;Toxic effect of cadmium and its compounds;;1
T56.4;Toxic effect of copper and its compounds;;1
T56.5;Toxic effect of zinc and its compounds;;1
T56.6;Toxic effect of tin and its compounds;;1
T56.7;Toxic effect of beryllium and its compounds;;1
T56.8;Toxic effect of other metals;;1
T56.9;Toxic effect of metal, unspecified;;1
T57.0;Toxic effect of arsenic and its compounds;;1
T57.1;Toxic effect of phosphorus and its compounds;;1
T57.2;Toxic effect of manganese and its compounds;;1
T57.3;Toxic effect of hydrogen cyanide;;1
T57.8;Toxic effect of other specified inorganic substances;;1
T57.9;Toxic effect of inorganic substance, unspecified;;1
T58;Toxic effect of carbon monoxide;;1
T59.0;Toxic effect of nitrogen oxides;;1
T59.1;Toxic effect of sulfur dioxide;;1
T59.2;Toxic effect of formaldehyde;;1
T59.3;Toxic effect of lacrimogenic gas;;1
T59.4;Toxic effect of chlorine gas;;1
T59.5;Toxic effect of fluorine gas and hydrogen fluoride;;1
T59.6;Toxic effect of hydrogen sulfide;;1
T59.7;Toxic effect of carbon dioxide;;1
T59.8;Toxic effect of other specified gases, fumes and vapours;;1
T59.9;Toxic effect of gases, fumes and vapours, unspecified;;1
T60.0;Toxic effect of organophosphate and carbamate insecticides;;1
T60.1;Toxic effect of halogenated insecticides;;1
T60.2;Toxic effect of other insecticides;;1
T60.3;Toxic effect of herbicides and fungicides;;1
T60.4;Toxic effect of rodenticides;;1
T60.8;Toxic effect of other pesticides;;1
T60.9;Toxic effect of pesticide, unspecified;;1
T61.0;Toxic effect of ciguatera fish poisoning;;1
T61.1;Toxic effect of scombroid fish poisoning;;1
T61.2;Toxic effect of other fish and shellfish poisoning;;1
T61.8;Toxic effect of other seafoods;;1
T61.9;Toxic effect of unspecified seafood;;1
T62.0;Toxic effect of ingested mushrooms;;1
T62.1;Toxic effect of ingested berries;;1
T62.2;Toxic effect of other ingested (parts of) plant(s);;1
T62.8;Toxic effect of other specified noxious substances eaten as food;;1
T62.9;Toxic effect of noxious substance eaten as food, unspecified;;1
T63.0;Toxic effect of snake venom;;1
T63.1;Toxic effect of venom of other reptiles;;1
T63.2;Toxic effect of venom of scorpion;;1
T63.3;Toxic effect of venom of spider;;1
T63.4;Toxic effect of venom of other arthropods;;1
T63.5;Toxic effect of contact with fish;;1
T63.6;Toxic effect of contact with other marine animals;;1
T63.8;Toxic effect of contact with other venomous animals;;1
T63.9;Toxic effect of contact with unspecified venomous animal;;1
T64;Toxic effect of aflatoxin and other mycotoxin food contaminants;;1
T65.0;Toxic effect of cyanides;;1
T65.1;Toxic effect of strychnine and its salts;;1
T65.2;Toxic effect of tobacco and nicotine;;1
T65.3;Toxic effect of nitroderivatives and aminoderivatives of benzene and its homologues;;1
T65.4;Toxic effect of carbon disulfide;;1
T65.5;Toxic effect of nitroglycerin and other nitric acids and esters;;1
T65.6;Toxic effect of paints and dyes, not elsewhere classified;;1
T65.8;Toxic effect of other specified substances;;1
T65.9;Toxic effect of unspecified substance;;1
T66;Unspecified effects of radiation;;1
T67.0;Heatstroke and sunstroke;;1
T67.1;Heat syncope;;1
T67.2;Heat cramp;;1
T67.3;Heat exhaustion, anhydrotic;;1
T67.4;Heat exhaustion due to salt depletion;;1
T67.5;Heat exhaustion, unspecified;;1
T67.6;Heat fatigue, transient;;1
T67.7;Heat oedema;;1
T67.8;Other effects of heat and light;;1
T67.9;Effect of heat and light, unspecified;;1
T68;Hypothermia;;1
T69.0;Immersion hand and foot;;1
T69.1;Chilblains;;1
T69.8;Other specified effects of reduced temperature;;1
T69.9;Effect of reduced temperature, unspecified;;1
T70.0;Otitic barotrauma;;1
T70.1;Sinus barotrauma;;1
T70.2;Other and unspecified effects of high altitude;;1
T70.3;Caisson disease [decompression sickness];;1
T70.4;Effects of high-pressure fluids;;1
T70.8;Other effects of air pressure and water pressure;;1
T70.9;Effect of air pressure and water pressure, unspecified;;1
T71;Asphyxiation;;1
T73.0;Effects of hunger;;1
T73.1;Effects of thirst;;1
T73.2;Exhaustion due to exposure;;1
T73.3;Exhaustion due to excessive exertion;;1
T73.8;Other effects of deprivation;;1
T73.9;Effect of deprivation, unspecified;;1
T74.0;Neglect or abandonment;;1
T74.1;Physical abuse;;1
T74.2;Sexual abuse;;1
T74.3;Psychological abuse;;1
T74.8;Other maltreatment syndromes;;1
T74.9;Maltreatment syndrome, unspecified;;1
T75.0;Effects of lightning;;1
T75.1;Drowning and nonfatal submersion;;1
T75.2;Effects of vibration;;1
T75.3;Motion sickness;;1
T75.4;Effects of electric current;;1
T75.8;Other specified effects of external causes;;1
T78.0;Anaphylactic shock due to adverse food reaction;;1
T78.1;Other adverse food reactions, not elsewhere classified;;1
T78.2;Anaphylactic shock, unspecified;;1
T78.3;Angioneurotic oedema;;1
T78.4;Allergy, unspecified;;1
T78.8;Other adverse effects, not elsewhere classified;;1
T78.9;Adverse effect, unspecified;;1
T79.0;Air embolism (traumatic);;1
T79.1;Fat embolism (traumatic);;1
